epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48514,1.5444,3.33132,1.6748,0.01,0.6,0.09151,0.02617,1.70028,3.00943,1.93318,4e-05,4e-05,4e-05
2,1.9474,1.51909,3.24536,1.59872,0.01267,0.76,0.24339,0.0912,1.56756,2.9518,1.86617,9.901e-05,9.901e-05,9.901e-05
3,2.4129,1.33879,3.08353,1.44737,0.012,0.72,0.26493,0.12236,1.6745,2.9307,1.8678,0.000156832,0.000156832,0.000156832
4,2.90303,1.27166,3.22861,1.44608,0.012,0.72,0.23808,0.11144,1.85275,2.89766,1.97568,0.000213466,0.000213466,0.000213466
5,3.36751,1.26605,2.6442,1.30957,0.01333,0.8,0.28105,0.13434,1.95313,2.92263,2.04804,0.000268912,0.000268912,0.000268912
6,3.84051,1.17743,2.20641,1.3084,0.01333,0.8,0.31896,0.15276,1.75518,2.76477,1.84828,0.00032317,0.00032317,0.00032317
7,4.28605,1.14407,2.26171,1.26005,0.01333,0.8,0.25334,0.14505,1.67539,2.69868,1.78511,0.00037624,0.00037624,0.00037624
8,4.72759,1.08489,2.10746,1.21722,0.01267,0.76,0.28198,0.13614,1.6775,2.69297,1.75574,0.000428122,0.000428122,0.000428122
9,5.1765,1.13573,2.56013,1.27026,0.014,0.84,0.38419,0.17308,1.58857,2.68404,1.70258,0.000478816,0.000478816,0.000478816
10,5.63303,1.1582,1.87967,1.23446,0.01333,0.8,0.41364,0.17891,1.55339,2.69942,1.69583,0.000528322,0.000528322,0.000528322
11,6.07671,1.25491,2.34006,1.4129,0.01333,0.8,0.35881,0.17868,1.5334,2.73964,1.68729,0.00057664,0.00057664,0.00057664
12,6.53569,1.13675,1.96585,1.19683,0.01333,0.8,0.33815,0.16983,1.5843,2.74738,1.75082,0.00062377,0.00062377,0.00062377
13,7.00783,1.03855,1.83151,1.14445,0.01267,0.76,0.34782,0.16959,1.59481,2.75052,1.78607,0.000669712,0.000669712,0.000669712
14,7.45559,1.09541,1.88991,1.1871,0.10569,0.6,0.3053,0.16075,1.68836,2.797,1.79425,0.000714466,0.000714466,0.000714466
15,7.92244,1.24242,2.35712,1.35104,0.10569,0.6,0.3053,0.16075,1.68836,2.797,1.79425,0.000758032,0.000758032,0.000758032
16,8.37167,1.19225,1.98738,1.26714,0.5682,0.36886,0.32345,0.17323,1.60157,2.75615,1.72971,0.00080041,0.00080041,0.00080041
17,8.82056,1.12679,2.09368,1.15026,0.29998,0.4,0.30216,0.14112,1.82623,2.77143,1.93572,0.0008416,0.0008416,0.0008416
18,9.24706,1.07531,1.84795,1.15291,0.29998,0.4,0.30216,0.14112,1.82623,2.77143,1.93572,0.000881602,0.000881602,0.000881602
19,9.69263,1.00339,1.60972,1.10296,0.79967,0.15974,0.30565,0.16179,1.85012,2.67826,1.95565,0.000920416,0.000920416,0.000920416
20,10.1327,1.00275,1.58997,1.11267,0.35304,0.24,0.32785,0.17958,1.86651,2.39971,1.99549,0.000958042,0.000958042,0.000958042
21,10.5806,1.18577,1.74991,1.23255,0.35304,0.24,0.32785,0.17958,1.86651,2.39971,1.99549,0.00099448,0.00099448,0.00099448
22,11.0464,0.96933,1.57199,1.08575,0.43616,0.36,0.33489,0.14147,1.84896,2.2477,2.03938,0.00102973,0.00102973,0.00102973
23,11.468,1.0188,1.48173,1.11842,0.43616,0.36,0.33489,0.14147,1.84896,2.2477,2.03938,0.00106379,0.00106379,0.00106379
24,11.9188,1.18103,1.74551,1.193,0.49707,0.32,0.2765,0.11215,1.9338,2.40656,2.17909,0.00109667,0.00109667,0.00109667
25,12.3464,0.9874,1.55522,1.09059,0.49707,0.32,0.2765,0.11215,1.9338,2.40656,2.17909,0.00112835,0.00112835,0.00112835
26,12.797,1.14269,1.64975,1.14404,0.3566,0.32,0.17959,0.06984,2.00657,2.63729,2.17948,0.00115885,0.00115885,0.00115885
27,13.2235,1.15748,1.65374,1.20566,0.3566,0.32,0.17959,0.06984,2.00657,2.63729,2.17948,0.00118816,0.00118816,0.00118816
28,13.6826,1.2959,2.07659,1.38517,0.35252,0.28,0.19605,0.06756,2.08445,2.71737,2.33055,0.00121628,0.00121628,0.00121628
29,14.1151,1.05254,1.67291,1.15044,0.35252,0.28,0.19605,0.06756,2.08445,2.71737,2.33055,0.00124322,0.00124322,0.00124322
30,14.5549,1.11025,1.57534,1.25798,0.35252,0.28,0.19605,0.06756,2.08445,2.71737,2.33055,0.00126896,0.00126896,0.00126896
31,15.0077,1.16328,1.80216,1.17246,0.42374,0.24,0.15852,0.05614,2.1246,2.7275,2.37449,0.00129352,0.00129352,0.00129352
